epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
11,1.415528,0.473294,0.000000,0.393157,0.000000,0.000000,0.909639,0.828862,0.126309,0.292532,26.474001,19.864452,0.187748,0.411586,0.057122,0.057477,0.057477,0.057477,0.057477,0.055701,0.056879,"[0.057476636539561865, 0.05747664001698883, 0.05747663691358569, 0.057476635906592494, 0.05449060276165798]",0.057477,0.057477,0.057477,0.057477,0.054491,0.042464,"[0.04205607579734927, 0.04205608002224086, 0.042056076374970136, 0.042056075149568495, 0.04409560889396812]",0.042056,0.042056,0.042056,0.042056,0.044096,0.042261,"[0.04205607579734927, 0.04205608002224086, 0.042056076374970136, 0.042056075149568495, 0.043078443213408917]",0.042056,0.042056,0.042056,0.042056,0.043078
12,1.429775,0.466757,0.000000,0.394539,0.000000,0.000000,0.917032,0.832217,0.120534,0.266373,26.723539,20.570386,0.181483,0.378419,0.057055,0.057477,0.057477,0.057477,0.057477,0.055367,0.056846,"[0.0574766363569553, 0.05747663814021087, 0.057476637051331256, 0.057476635965555176, 0.05432193958264419]",0.057477,0.057477,0.057477,0.057477,0.054322,0.042404,"[0.042056075686101334, 0.04205607711930998, 0.042056076316827305, 0.04205607520221423, 0.04379403854619449]",0.042056,0.042056,0.042056,0.042056,0.043794,0.042230,"[0.042056075686101334, 0.04205607711930998, 0.042056076316827305, 0.04205607520221423, 0.04292690630245146]",0.042056,0.042056,0.042056,0.042056,0.042927
13,1.469268,0.453179,0.000000,0.399790,0.000000,0.000000,0.913420,0.828305,0.117205,0.292453,26.751743,19.926340,0.181669,0.410195,0.057073,0.057477,0.057477,0.057477,0.057477,0.055460,0.056855,"[0.05747663618109105, 0.057476639933418054, 0.05747663765532272, 0.057476635991988934, 0.05436887943708835]",0.057477,0.057477,0.057477,0.057477,0.054369,0.042495,"[0.04205607545491451, 0.04205607856156125, 0.04205607707174114, 0.042056075220404776, 0.04425273126614364]",0.042056,0.042056,0.042056,0.042056,0.044253,0.042276,"[0.04205607545491451, 0.04205607856156125, 0.04205607707174114, 0.042056075220404776, 0.04315756498995566]",0.042056,0.042056,0.042056,0.042056,0.043158
14,1.491766,0.448816,0.000000,0.405190,0.000000,0.000000,0.916848,0.831459,0.128056,0.281172,26.331243,20.140683,0.192697,0.399386,0.057104,0.057477,0.057477,0.057477,0.057477,0.055613,0.056870,"[0.05747663622548344, 0.05747664112721337, 0.057476636941112665, 0.05747663602362895, 0.054445747471365734]",0.057477,0.057477,0.057477,0.057477,0.054446,0.042521,"[0.042056075542421426, 0.0420560792197992, 0.042056076408256815, 0.04205607521133312, 0.04438103684879972]",0.042056,0.042056,0.042056,0.042056,0.044381,0.042289,"[0.042056075542421426, 0.0420560792197992, 0.042056076408256815, 0.04205607521133312, 0.043221970426665826]",0.042056,0.042056,0.042056,0.042056,0.043222
15,1.495507,0.446157,0.000000,0.399245,0.000000,0.000000,0.913117,0.832000,0.117032,0.270114,26.707576,20.404178,0.181005,0.385444,0.057205,0.057477,0.057477,0.057477,0.057477,0.056116,0.056921,"[0.057476636182708, 0.0574766388877507, 0.05747663762111583, 0.05747663593525325, 0.05469930230245637]",0.057477,0.057477,0.057477,0.057477,0.054699,0.042617,"[0.042056075499251534, 0.04205607777133783, 0.04205607698599994, 0.0420560751746968, 0.044860657366053144]",0.042056,0.042056,0.042056,0.042056,0.044861,0.042338,"[0.042056075499251534, 0.04205607777133783, 0.04205607698599994, 0.0420560751746968, 0.043463478061820666]",0.042056,0.042056,0.042056,0.042056,0.043463
16,1.505820,0.440252,0.000000,0.397808,0.000000,0.000000,0.913148,0.828704,0.133201,0.276512,25.947272,20.227383,0.201353,0.392716,0.057260,0.057477,0.057477,0.057477,0.057477,0.056392,0.056949,"[0.05747663620379391, 0.05747664121163895, 0.05747663685231178, 0.057476635925614396, 0.05483835898881958]",0.057477,0.057477,0.057477,0.057477,0.054838,0.042636,"[0.042056075535097236, 0.04205608054743534, 0.042056076282250096, 0.04205607515008291, 0.04495604284048329]",0.042056,0.042056,0.042056,0.042056,0.044956,0.042347,"[0.042056075535097236, 0.04205608054743534, 0.042056076282250096, 0.04205607515008291, 0.04351165520031979]",0.042056,0.042056,0.042056,0.042056,0.043512
17,1.527666,0.436300,0.000000,0.395537,0.000000,0.000000,0.919774,0.830823,0.120329,0.269794,26.670970,20.491364,0.184326,0.382974,0.057016,0.057477,0.057477,0.057477,0.057477,0.055173,0.056826,"[0.0574766361863409, 0.05747664034561494, 0.05747663703778027, 0.05747663601829482, 0.05422459839673567]",0.057477,0.057477,0.057477,0.057477,0.054225,0.042418,"[0.04205607547533323, 0.042056080429437405, 0.04205607642577511, 0.04205607523775673, 0.04386357251682062]",0.042056,0.042056,0.042056,0.042056,0.043864,0.042237,"[0.04205607547533323, 0.042056080429437405, 0.04205607642577511, 0.04205607523775673, 0.04296185788617818]",0.042056,0.042056,0.042056,0.042056,0.042962
18,1.539983,0.431220,0.000000,0.398523,0.000000,0.000000,0.918932,0.835010,0.116970,0.272975,26.929987,20.438652,0.178714,0.385873,0.057212,0.057477,0.057477,0.057477,0.057477,0.056152,0.056925,"[0.057476636189584485, 0.05747663856362618, 0.05747663695941178, 0.05747663594470271, 0.05471778533048415]",0.057477,0.057477,0.057477,0.057477,0.054718,0.042531,"[0.04205607551831371, 0.0420560773552065, 0.04205607631472902, 0.04205607517649699, 0.04443030956050218]",0.042056,0.042056,0.042056,0.042056,0.044430,0.042294,"[0.04205607551831371, 0.0420560773552065, 0.04205607631472902, 0.04205607517649699, 0.0432468479222985]",0.042056,0.042056,0.042056,0.042056,0.043247
19,1.547298,0.427987,0.000000,0.392974,0.000000,0.000000,0.918497,0.833236,0.106039,0.271155,27.345809,20.423119,0.168252,0.385097,0.057259,0.057477,0.057477,0.057477,0.057477,0.056391,0.056949,"[0.05747663655909225, 0.057476638833764096, 0.05747663661687247, 0.0574766359168587, 0.05483785777845912]",0.057477,0.057477,0.057477,0.057477,0.054838,0.042622,"[0.04205607578888987, 0.04205607848990436, 0.04205607610289776, 0.04205607514604316, 0.044884758648554186]",0.042056,0.042056,0.042056,0.042056,0.044885,0.042340,"[0.04205607578888987, 0.04205607848990436, 0.04205607610289776, 0.04205607514604316, 0.04347578301616457]",0.042056,0.042056,0.042056,0.042056,0.043476
20,1.599634,0.412037,0.000000,0.397469,0.000000,0.000000,0.918281,0.829509,0.128718,0.289768,26.148658,20.094100,0.195594,0.404247,0.057155,0.057477,0.057477,0.057477,0.057477,0.055868,0.056896,"[0.05747663622844507, 0.057476638542634594, 0.05747663711805401, 0.05747663593241665, 0.05457443379530267]",0.057477,0.057477,0.057477,0.057477,0.054574,0.042486,"[0.042056075496353276, 0.042056077876018214, 0.0420560766507675, 0.042056075182891686, 0.04420322618586538]",0.042056,0.042056,0.042056,0.042056,0.044203,0.042271,"[0.042056075496353276, 0.042056077876018214, 0.0420560766507675, 0.042056075182891686, 0.0431325473569453]",0.042056,0.042056,0.042056,0.042056,0.043133
