epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5
37,2.441887,0.008990,0.000000,0.000000,0.000000,0.000000,0.926412,0.830674,0.123126,0.305700,26.335924,19.139678,0.173238,0.417100,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
38,2.431064,0.006247,0.000000,0.000000,0.000000,0.000000,0.926422,0.830636,0.123889,0.306451,26.305666,19.123374,0.173839,0.417947,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
39,2.428414,0.005223,0.000000,0.000000,0.000000,0.000000,0.926428,0.830609,0.124448,0.306961,26.283605,19.112342,0.174279,0.418521,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
40,2.422396,0.004078,0.000000,0.000000,0.000000,0.000000,0.926435,0.830577,0.125104,0.307579,26.257656,19.099017,0.174798,0.419214,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
41,2.426165,0.003978,0.000000,0.000000,0.000000,0.000000,0.926441,0.830551,0.125641,0.308080,26.236101,19.088219,0.175230,0.419777,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
42,2.423973,0.002698,0.000000,0.000000,0.000000,0.000000,0.926447,0.830528,0.126099,0.308514,26.217801,19.078891,0.175598,0.420264,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
43,2.431524,0.002228,0.000000,0.000000,0.000000,0.000000,0.926453,0.830502,0.126671,0.309022,26.194917,19.068009,0.176060,0.420833,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
44,2.423866,0.001430,0.000000,0.000000,0.000000,0.000000,0.926456,0.830488,0.126973,0.309284,26.182800,19.062401,0.176304,0.421126,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
45,2.419833,0.001179,0.000000,0.000000,0.000000,0.000000,0.926459,0.830478,0.127186,0.309476,26.174336,19.058304,0.176476,0.421341,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
46,2.430458,0.000996,0.000000,0.000000,0.000000,0.000000,0.926462,0.830462,0.127506,0.309765,26.161642,19.052128,0.176733,0.421664,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
47,2.427310,0.000568,0.000000,0.000000,0.000000,0.000000,0.926464,0.830452,0.127724,0.309964,26.152969,19.047885,0.176909,0.421886,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
48,2.429058,0.000043,0.000000,0.000000,0.000000,0.000000,0.926465,0.830444,0.127894,0.310121,26.146250,19.044524,0.177046,0.422063,0.609533,1.000000,1.000000,1.000000,0.000000,0.047664,0.609533,"[1.0, 1.0, 1.0, 9.038225406935741e-11, 0.047663552495022986]",1.000000,1.000000,1.000000,0.000000,0.047664,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579,0.606916,"[1.0, 1.0, 1.0, 9.188212022093604e-11, 0.03457944018296813]",1.000000,1.000000,1.000000,0.000000,0.034579
