epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
11,2.648564,0.081225,0.030098,0.016453,0.041846,0.085066,0.927570,0.839258,0.095235,0.242890,27.585982,20.717234,0.154054,0.343161,0.622133,1.000000,1.000000,1.000000,0.047664,0.063000,0.620315,"[1.0, 1.0, 1.0, 0.047663551885663645, 0.05391054677733662]",1.000000,1.000000,1.000000,0.047664,0.053911,0.622797,"[1.0, 1.0, 1.0, 0.034579439440766156, 0.07940316902207817]",1.000000,1.000000,1.000000,0.034579,0.079403,0.618602,"[1.0, 1.0, 1.0, 0.034579439440766156, 0.05842896953530039]",1.000000,1.000000,1.000000,0.034579,0.058429
12,2.746095,0.079046,0.073299,0.032181,0.078857,0.151815,0.927348,0.839759,0.095327,0.241356,27.555850,20.761146,0.154493,0.341485,0.621829,1.000000,1.000000,1.000000,0.047664,0.061481,0.620150,"[1.0, 1.0, 1.0, 0.04766355175757292, 0.05308779078771689]",1.000000,1.000000,1.000000,0.047664,0.053088,0.621935,"[1.0, 1.0, 1.0, 0.034579439425399816, 0.07509766389521946]",1.000000,1.000000,1.000000,0.034579,0.075098,0.618121,"[1.0, 1.0, 1.0, 0.034579439425399816, 0.05602678756284205]",1.000000,1.000000,1.000000,0.034579,0.056027
13,2.841057,0.066304,0.084785,0.036310,0.098571,0.189525,0.924906,0.840364,0.098867,0.240380,27.298027,20.777815,0.158778,0.340974,0.620461,1.000000,1.000000,1.000000,0.047664,0.054641,0.619446,"[1.0, 1.0, 1.0, 0.04766355162543765, 0.049564382726931394]",1.000000,1.000000,1.000000,0.047664,0.049564,0.623934,"[1.0, 1.0, 1.0, 0.03457943942385169, 0.0850929966936339]",1.000000,1.000000,1.000000,0.034579,0.085093,0.619272,"[1.0, 1.0, 1.0, 0.03457943942385169, 0.06178221836539841]",1.000000,1.000000,1.000000,0.034579,0.061782
14,2.498106,0.056642,0.000000,0.000000,0.000000,0.000000,0.924912,0.840365,0.098831,0.240394,27.299945,20.777467,0.158747,0.340988,0.620459,1.000000,1.000000,1.000000,0.047664,0.054630,0.619444,"[1.0, 1.0, 1.0, 0.04766355162537422, 0.049558739402587766]",1.000000,1.000000,1.000000,0.047664,0.049559,0.623938,"[1.0, 1.0, 1.0, 0.0345794394238397, 0.08511300239191506]",1.000000,1.000000,1.000000,0.034579,0.085113,0.619275,"[1.0, 1.0, 1.0, 0.0345794394238397, 0.061793638060037036]",1.000000,1.000000,1.000000,0.034579,0.061794
15,2.832094,0.064424,0.070121,0.035968,0.098845,0.183213,0.929668,0.841018,0.093714,0.239582,27.694441,20.798825,0.152064,0.340193,0.621668,1.000000,1.000000,1.000000,0.047664,0.060676,0.620098,"[1.0, 1.0, 1.0, 0.0476635515846608, 0.052824766832179626]",1.000000,1.000000,1.000000,0.047664,0.052825,0.629267,"[1.0, 1.0, 1.0, 0.03457943940596819, 0.11175703912716618]",1.000000,1.000000,1.000000,0.034579,0.111757,0.622351,"[1.0, 1.0, 1.0, 0.03457943940596819, 0.07717589600753151]",1.000000,1.000000,1.000000,0.034579,0.077176
16,2.715343,0.069257,0.043033,0.020786,0.086024,0.154815,0.928734,0.838642,0.095410,0.243567,27.616849,20.692769,0.154273,0.344094,0.619813,1.000000,1.000000,1.000000,0.047664,0.051402,0.619085,"[1.0, 1.0, 1.0, 0.047663551672714966, 0.047763673530414136]",1.000000,1.000000,1.000000,0.047664,0.047764,0.621546,"[1.0, 1.0, 1.0, 0.03457943943604026, 0.07315258548533572]",1.000000,1.000000,1.000000,0.034579,0.073153,0.617945,"[1.0, 1.0, 1.0, 0.03457943943604026, 0.05514337450487326]",1.000000,1.000000,1.000000,0.034579,0.055143
17,2.409440,0.032193,0.000000,0.000000,0.000000,0.000000,0.928734,0.838638,0.095406,0.243555,27.617034,20.693184,0.154270,0.344076,0.619813,1.000000,1.000000,1.000000,0.047664,0.051402,0.619086,"[1.0, 1.0, 1.0, 0.047663551672699915, 0.04776410762504758]",1.000000,1.000000,1.000000,0.047664,0.047764,0.621547,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.07315552712223683]",1.000000,1.000000,1.000000,0.034579,0.073156,0.617945,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.05514497313055804]",1.000000,1.000000,1.000000,0.034579,0.055145
18,2.412311,0.022447,0.000000,0.000000,0.000000,0.000000,0.928734,0.838631,0.095404,0.243566,27.617115,20.692987,0.154269,0.344083,0.619813,1.000000,1.000000,1.000000,0.047664,0.051402,0.619086,"[1.0, 1.0, 1.0, 0.0476635516726999, 0.04776410762504758]",1.000000,1.000000,1.000000,0.047664,0.047764,0.621547,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.0731555258671278]",1.000000,1.000000,1.000000,0.034579,0.073156,0.617945,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.05514497248037346]",1.000000,1.000000,1.000000,0.034579,0.055145
19,2.405174,0.012433,0.000000,0.000000,0.000000,0.000000,0.928738,0.838634,0.095392,0.243561,27.617833,20.693114,0.154257,0.344078,0.619813,1.000000,1.000000,1.000000,0.047664,0.051402,0.619086,"[1.0, 1.0, 1.0, 0.0476635516726999, 0.04776410762504758]",1.000000,1.000000,1.000000,0.047664,0.047764,0.621547,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.0731555258671278]",1.000000,1.000000,1.000000,0.034579,0.073156,0.617945,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.05514497248037346]",1.000000,1.000000,1.000000,0.034579,0.055145
20,2.421821,0.015346,0.000000,0.000000,0.000000,0.000000,0.928737,0.838644,0.095394,0.243564,27.617800,20.692858,0.154257,0.344091,0.619813,1.000000,1.000000,1.000000,0.047664,0.051402,0.619086,"[1.0, 1.0, 1.0, 0.0476635516726999, 0.04776410762504758]",1.000000,1.000000,1.000000,0.047664,0.047764,0.621547,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.0731555258671278]",1.000000,1.000000,1.000000,0.034579,0.073156,0.617945,"[1.0, 1.0, 1.0, 0.03457943943603662, 0.05514497248037346]",1.000000,1.000000,1.000000,0.034579,0.055145
